Date,boiler,ng_meter_m3,boiler_steam_tons,feed_water_kl,hp_steam_tons,lp_steam_kg,soft_water_inlet_kl,soft_water_outlet_kl,ng_skid_converted,ng_skid_unconverted,cereal_condensate_ltr,da_makeup_tank_kl,Avg_Feed_Water_Tank_Level_(50 to 70%),Avg_Feed_Water_Tank_Temperature_(102 to 105 C),Avg_Feed_Water_Tank_Pressure_(<0.5 kg/cm2),Avg_Boiler1_Level_Guage_(40-50%),Avg_Boiler1_Drum_Steam_Pressure,Avg_Boiler1_Modulation_%,Avg_Boiler1_F.D_FAN_AIR_Temperature_(OUTLET_TEMPERATURE),Avg_BOILER1_A.P.H_FLUE_GAS_OUTLET_TEMPERATURE_(<300 C),Avg_BOILER1_A.P.H_FLUE_GAS_INLET_TEMPERATURE_(<150 C),Avg_BOILER1_A.P.H_FLUE_GAS_O2_%,Avg_Chimney_Temperature_C,Avg_NG_CV_kcal_per_Nm3,Avg_SoftWater_pH,Avg_SoftWater_Hardness_ppm,Avg_Feed_Water_Temp_C,Avg_Feed_Water_Conductivity_uScm,Avg_Feed_Water_pH,Avg_Feed_Water_DO_ppm,Avg_Boiler1Water_TDS_ppm,Avg_Boiler1Water_Conductivity_uScm,Avg_Boiler1Water_pH,Conversion_Rate,Total_Fuel_Corrected,Boiler_Yield,Efficiency_%
2025-09-01,Boiler1,5275,287,315,330,70844,119,79,34928.84,8293,69540,281,59.888888888888886,102.0,0.2777777777777778,48.55555555555556,14.91111111111111,61.888888888888886,105.22222222222224,234.22222222222223,167.55555555555554,5.077777777777778,160.11111111111111,9450.0,7.188888888888889,0.0,103.9,53.44444444444444,8.773333333333333,0.0711111111111111,2244.8888888888887,3871.1111111111113,11.715555555555556,4.211846135294826,22217.488363680208,12.917751786433705,77.24678872501255
2025-09-02,Boiler1,5219,287,307,338,70896,206,166,37076.39,8796,66330,284,60.0,102.0,0.2666666666666666,48.41666666666666,14.975,62.333333333333336,104.08333333333331,235.25,168.25,4.991666666666666,159.5,9450.0,7.158333333333334,0.0,103.90000000000002,59.91666666666666,8.735000000000001,0.06,2290.1666666666665,3907.8333333333335,11.7125,4.215142110050023,21998.826672351068,13.046150336768283,78.01459846886517
2025-09-03,Boiler1,5082,272,294,373,60363,138,100,38241.08,9077,93750,290,60.0,102.0,0.2833333333333333,48.583333333333336,15.0,59.91666666666666,106.08333333333331,233.8333333333333,167.33333333333334,4.966666666666667,164.91666666666666,9450.0,7.15,0.0,103.90000000000002,58.66666666666666,8.761666666666667,0.065,2274.9166666666665,3942.4166666666665,11.729166666666666,4.2129646358929165,21410.2862796078,12.70417389323122,75.96961552449696
2025-09-04,Boiler1,4000,219,234,215,77644,169,70,25678.35,6073,1140,235,59.75,102.0,0.25,48.5,14.95,45.75,104.16666666666669,223.91666666666663,156.33333333333334,5.0,156.08333333333334,9450.0,7.15,0.0,103.90000000000002,53.25,8.750833333333334,0.0566666666666666,2273.1666666666665,3877.75,11.740833333333333,4.228280915527746,16913.123662110982,12.94852472997681,77.43080767100419
2025-09-05,Boiler1,2754,153,163,149,48061,63,27,11358.45,2717,39180,162,59.66666666666666,94.5,0.2416666666666666,49.083333333333336,14.991666666666667,39.0,100.66666666666669,218.91666666666663,147.83333333333334,4.741666666666666,149.83333333333334,9450.0,7.191666666666666,0.0,103.90000000000002,55.083333333333336,8.748333333333333,0.065,2258.083333333333,3862.0833333333335,11.728333333333332,4.180511593669489,11513.128928965773,13.2891762911704,79.4678679591576
2025-09-06,Boiler1,2455,135,154,132,54557,190,140,10232.37,2445,"19,650",151,59.5,102.0,0.2416666666666666,49.083333333333336,14.983333333333334,24.75,96.91666666666669,208.66666666666663,133.25,4.308333333333334,140.66666666666666,9450.0,7.258333333333333,0.0,103.90000000000002,54.083333333333336,8.833333333333334,0.0616666666666666,2293.1666666666665,3933.25,11.733333333333334,4.185018404907976,10274.220184049082,13.139683361038925,78.57391605632907
2025-09-07,Boiler1,4122,230,249,227,53384,70,35,18705.86,4458,72510,242,59.75,102.08333333333331,0.2666666666666666,49.333333333333336,14.991666666666667,45.333333333333336,99.33333333333331,224.75,153.75,5.0,150.91666666666666,9450.0,7.166666666666667,0.0,103.90000000000002,57.91666666666666,8.764166666666666,0.06,2306.4166666666665,3870.0833333333335,11.716666666666669,4.196020637056976,17295.997065948854,13.297874596244462,79.51988290304493
2025-09-08,Boiler1,4575,247,266,245,36160,75,50,25767.65,6143,68430,264,59.75,102.41666666666669,0.2166666666666666,49.25,15.0,54.66666666666666,100.66666666666669,230.8333333333333,162.41666666666666,4.983333333333333,153.33333333333334,9450.0,7.125,0.0,103.90000000000002,53.75,8.77,0.0525,2222.6666666666665,3859.8333333333335,11.735833333333332,4.194636171251831,19190.460483477127,12.870978276559104,76.96708808554021
2025-09-09,Boiler1,4735,256,279,256,37180,92,59,24095.97,5748,80280,282,59.583333333333336,102.41666666666669,0.2166666666666666,48.75,14.991666666666667,53.91666666666666,99.58333333333331,231.3333333333333,161.5,4.9750000000000005,154.83333333333334,9450.0,7.158333333333332,0.0,103.90000000000002,57.91666666666666,8.762500000000001,0.0625,2244.583333333333,3911.25,11.7,4.192061586638831,19849.411612734864,12.897107732692543,77.12333946819636
2025-09-10,Boiler1,4790,258,276,257,39330,89,60,25596.86,6112,75720,273,59.66666666666666,102.0,0.225,48.833333333333336,15.033333333333331,56.41666666666666,101.0,232.91666666666663,164.41666666666666,4.991666666666667,156.91666666666666,9450.0,7.141666666666667,0.0,103.90000000000002,59.75,8.723333333333333,0.0625,2313.6666666666665,3882.5,11.734166666666669,4.187967931937173,20060.36639397906,12.861180844505231,76.90850047862335
